brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
ADIDAS,Tênis adidas Unissex Break Start Low - Original,399,99,40,,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 2 Para Corrida Maratona,849,90,662,92,,
FILA,Fila KR6 Masculino Adultos,599,40,359,84,4.7,(159)
MVP FITNESS,Tênis Para Crossfit - Mvp 4x4 Black Pink,559,51,497,75,5.0,(12)
DS SHOES,Tênis Casual Air Ds Leve E Confortavel,78,70,69,90,4.5,(806)
OLYMPIKUS,Olympikus Treino Volcan Masculino Adultos,149,99,14,58,4.7,(820)
,Kit Tênis Sneaker Oversized Sola Alta 2 Unidades Couro Eco,187,65,177,27,4.6,(257)
OLLIE,Tênis Street Ollie Masculino Kings Conforto,149,99,122,99,4.5,(700)
,Tênis Casual Masculino Sola Alta Em Couro Eco,112,90,107,25,4.5,(585)
RESERVA,Tênis Reserva Masculino Rsv R-brooklyn Sneaker Original,949,89,94,99,,
OLYMPIKUS,Olympikus Marte Masculino Adultos,157,15,149,50,4.7,(240)
POLO JOY,Polo Joy 220 Masculino Adultos,95,13,9,25,4.1,(696)
,Tênis Sb Street Oadsey Skatista Skate 100% Couro Legitimo ,89,90,29,97,4.5,(1017)
RAINHA,Tênis Rainha Futsal Vôlei Masculino Feminino Capoeira Barato,97,58,9,48,4.7,(1031)
MIZUNO,Tênis Feminino Ou Masculino Academia Promoção Pronta Entrega,98,50,32,83,4.3,(1339)
GENÉRICA,Combo 2 Pares Tenis Infantil Menino E Menina Unisex Promoçao,149,90,37,48,,
WILSON,Tênis Wilson Game 2 - Masculino,201,95,33,66,,
PUMA,Puma Wired Rapid Masculino Adultos,349,99,33,93,4.9,(17)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(99)
OLLIE,Tênis Street Ollie Masculino Start Conforto,139,99,114,79,4.6,(770)
,Kit 2 Pares Tênis Meia Masculino Sem Cadarço Calçado Leve  ,139,90,13,60,4.7,(246)
UNDER ARMOUR,Under Armour Tribase Reps Masculino Adultos,345,45,33,,5.0,(13)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(716)
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,369,90,277,42,4.9,(35)
VANS,Tênis Casual Knu Skool Preto Branco ,169,90,161,40,4.8,(511)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,219,90,164,92,4.8,(329)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,137,65,4.4,(289)
ADAPTION,Kit 2 Tênis Adaption Academia Caminhada Easy Masculino,78,90,7,67,4.4,(369)
OLYMPIKUS,Olympikus Corre 3 Masculino Adultos,499,99,50,,4.5,(126)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,248,11,24,,4.8,(33)
ASICS,Tênis Asics Gt 2000 12 Masculino Petróleo Corrida,829,90,80,46,,
OLYMPIKUS,Tênis Olympikus Versa Masculino- Branco,219,99,31,43,4.4,(5)
,Tênis Old Casual Street Oadsey Feminino/masculino,89,90,29,97,4.5,(265)
MIZUNO,Tênis Mizuno Space 3 Masculino- Cinza,194,99,32,50,4.7,(79)
WONDER,Tenis Adventure Wonder Camurça Confortável ,104,90,10,20,5.0,(2)
DIX,Kit 2 Pares Tenis Masculino Esportivo Caminhada Academia Top,149,90,137,90,4.5,(171)
WM,Tenis Feminino Masculino Olimp Lançamento Super Promoção ,99,99,9,72,5.0,(4)
,Tênis Masculino Hot Sol Número Especial Até O 48,119,90,39,97,4.7,(337)
MIZUNO,Tênis Mizuno Wave Creation 20 Original Academia Caminhada,199,90,129,93,,
,Sapatenis Masculino Polo Casual Dia A Dia Novo Preço Bom ,78,98,75,03,4.5,(4267)
POLO JOY,Sapatenis Masculino Polo Joy Nova Versão Latex,78,90,7,67,4.7,(181)
SOFT WORKS,Sapato Softworks Bb65 Cozinha Hospital Enfermagem Antiderrap,78,99,7,68,4.8,(101)
,Tênis Sapatênis Jogging Masculino Casual Confortavel Esporte,78,99,69,51,,
SKECHERS,Tênis Skechers Ultra Flex 2.0  Masculino - Off White,359,92,35,99,,
CORSA,Sapatilha Kart Corsa K-race,549,90,54,99,4.5,(65)
NB,Tênis Masculino New Balance 997s Sport Anatómico Macio ,209,99,194,99,5.0,(2)
WILSON,Tênis Wilson Game 2 Masculino Preto E Branco,219,29,31,,,
,Tenis Casual Masculino Moda Snaker Leve Confortável ,95,86,91,06,4.5,(43)
RAINHA,Tênis Rainha Futsal Vl2500 Vôlei Capoeira Escolar,98,90,32,97,4.7,(210)
,Tênis Bolsonaro : Liberdade Style Super Confortável ,169,90,33,98,4.8,(99)
MIZUNO,Mizuno Jet 6 Masculino Adultos,329,80,197,88,4.7,(177)
ADIDAS,Tênis adidas Masculino Court Base - Original,349,99,35,,5.0,(2)
MORMAII,Tênis Masculino Mormaii Urban Stripe 3 Branco,179,89,35,98,,
OLLIE,Sapatênis Ollie Masculino Miami Conforto,129,99,106,59,4.8,(87)
POLOFRAN,Kit 3 Tênis Polo Fran Sapato Masculino Carteira Relógio ,139,90,113,05,3.9,(1231)
,Sapatilha Nautica Esportiva Natação Pesca Mergulho -oferta,67,99,62,55,4.7,(235)
RETRO,Tenis Masculino Feminino Classico Sketista Retro Old School,89,90,29,97,4.6,(1155)
FILA,Tênis Fila Recovery Preto Masculino Cinza E Vermelho,379,99,254,59,,
OLYMPIKUS,Olympikus Corre Grafeno 2 Masculino Adultos,539,90,52,34,4.7,(17)
FREEWAY,Sapatênis Masculino Free Way  Ref: Track 1 Couro,269,90,251,38,5.0,(3)
WM,Tenis Masculino Feminino Olimp Exclusivo Pronta Entrega,199,99,19,44,5.0,(2)
,Tênis Converse Chuck Taylor All Star Tradicional,159,80,31,,4.6,(1310)
AIR,Tenis Masculino Feminino Branco Casual Confortavel,79,90,26,63,4.7,(106)
OLLIE,Kit 2 Tênis Street Ollie Masculino Monster Conforto,279,98,204,38,4.7,(208)
UNDER ARMOUR,Tênis Under Armour Jet 21,469,47,45,,,
SOFT WORKS,Tenis Soft Works Bb80 Sapato Hospital Enfermagem Cozinha Epi,78,90,7,67,4.9,(62)
MIZUNO,Mizuno Wave Falcon 5 Masculino Adultos,431,80,259,11,4.8,(13)
ZEUZ,Tênis Masculino Leve Esportivo Conforto Dia A Dia Elástico,89,90,29,97,4.5,(4)
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,499,90,323,42,4.5,(529)
OLYMPIKUS,Tênis Olympikus 274 Jogging 100-   Branco,199,90,155,92,4.7,(21)
HARD,"Tenis Masculino, Corrida Esportivo Levinho Novo Lançamento",129,98,79,66,4.1,(49)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(134)
EVOLTENN,Kit 3 Pares Jaguar Evoltenn Masculino Leve Promoção,189,90,170,91,4.6,(670)
,"Sapatênis , Leve De  Zíper Super Conforto",84,90,80,65,4.5,(145)
OAKLEY,Tênis Oakley Flak Em Couro Com Carteira De Brinde Promoção,189,99,174,79,4.6,(26)
VANS,Tênis Casual Knu Skool Preto Branco ,159,90,15,54,4.8,(32)
FERRICELLI,Tênis Sapatenis Ferricelli Etron Knit Bege,219,29,31,,4.6,(59)
OLYMPIKUS,Tenis Masculino Olympikus Versa Classico Macio - Original,327,85,219,65,4.7,(10)
OLYMPIKUS,Tênis Olympikus 274 Jogging 100-  Preto,188,82,154,83,4.4,(35)
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,139,90,13,60,4.4,(2928)
,Tênis Sapatênis Masculino Polo White Promoção Top ,99,90,33,30,5.0,(4)
ADAPTION,Adaption Limited Masculino Adultos,72,99,7,09,4.4,(463)
ADIDAS,adidas Trainer V Masculino Adultos,599,99,58,17,5.0,(5)
VANELLI,Kit 2 Pares Tênis Masculino Esportivo Leve Macio Promoção,142,90,135,75,4.6,(63)
ADIDAS,adidas Terrex AX2S Masculino Adultos,799,99,77,56,5.0,(19)
JOMA,Tênis Joma Master 1000 Clay Saibro Marinho,242,52,23,,4.7,(118)
REEBOK,Reebok Nano X3 Adventure Masculino Adultos,662,60,529,34,5.0,(10)
EVOLTENN,Kit 3 Tênis Masculino Esportivo Evoltenn Sola Colmeia Leve.,189,90,169,10,4.6,(124)
,Tênis Adventure Hs Dia A Dia Numeração Especial Até O 49,144,90,36,22,5.0,(4)
OLLIE,Tênis Trekking Ollie Broncos Adventure Trilhas,149,99,122,99,4.4,(329)
ADAPTION,Tênis Masculino Caminhada Casual Easy + Relógio + Carteira,52,90,5,14,4.4,(444)
,Kit Tênis 2 Pares Masculino Super Confortável Leve Academia,129,90,12,63,4.5,(48)
,Tênis Masculino Air 90 Max Gelo Verde Água Reposição Top,89,90,8,74,4.7,(64)
OLLIE,Tênis Casual Ollie Masculino Liso Cadarço Dia A Dia Conforto,139,99,114,79,4.4,(760)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7707)
,Tênis Casual Masculino Snaker Sola Alta Sneakers,94,65,89,91,4.1,(20)
,Tenis Casual Masculino Moda Snaker Leve Confortável ,95,86,91,06,4.5,(43)
OLLIE,Tênis Casual Ollie Masculino Liso Cadarço Dia A Dia Conforto,139,99,114,79,4.4,(760)
,Tenis Meia Sapatilha Hibrida Neoprene Esporte Aquatico Pesca,52,90,5,14,4.5,(221)
ADAPTION,Kit 2 Tênis Adaption Academia Caminhada Masculino Easy,109,90,10,68,4.4,(409)
OLYMPIKUS,Olympikus Wellness Masculino Adultos,269,90,26,17,4.5,(454)
OLLIE,Tênis Street Ollie Masculino Monster Conforto,139,99,114,79,4.6,(131)
OLLIE,Sapatênis Ollie Masculino Miami Conforto,129,99,106,59,4.8,(87)
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,139,90,13,60,4.4,(4028)
,Kit 3 Tênis Masculino Prospect Speed Confortável + Relógio,219,90,138,53,,
VIA LIVRE,Tênis Masculino Casual Advanced Force Original Confortável,199,90,33,32,,
ALLSTAR,Promoção 2 Pares Converse Original Chuck Taylor Allstar Core,269,44,204,07,4.5,(172)
UNDERSPORTS,Tênis Coturno Adventure Couro Reforçado Biqueira Segurança,189,50,31,58,,
CREATION,Combotênis Academia Creation 20 Combo De 3 Pares Confortável,199,90,33,32,4.1,(202)
,Kit 2 Tênis Ferrari New Caminhada Leve Confortável Promoção,259,90,168,93,4.3,(164)
,Tênis Corrida Bolha Plus 1 Tn Muito Leve Novo Cr7 Mes,399,99,131,99,,
WAVE,Kit 2 Tênis Masculino Esportivo Molas Wave Creation 20 Orig,207,90,149,68,,
UNDER ARMOUR,Under Armour Spawn 3 Masculino Adultos,359,90,323,91,,
OLYMPIKUS,Olympikus Cyber 3 Masculino Adultos,199,99,180,50,4.7,(34)
MIZUNO,Tenis Esportivo Exclusivo Atividade Fisica Leve Confortavel,149,90,14,57,4.6,(228)
TIMBERLAND,Timberland Gorge C2 Masculino Adultos,159,99,15,55,,
MIZUNO,Tênis Masculino Wave Creation Treino Macio Original Promoção,199,90,129,93,3.7,(15)
ASICS,Tênis Asics Masculino Feminino Varias Cores Do 34 Ao 43,99,99,9,72,4.0,(485)
ASICS,Tênis Masculino Asics Gel Revelation Original Corrida Ful,349,90,129,46,4.0,(4)
ÖUS,Tênis Masculino Öus Imigrante Feminino Glow In The Dark,219,99,31,43,4.2,(23)
PUMA,Puma Caven 2.0 Bdp Masculino Adultos,399,90,299,92,4.7,(87)
ÖUS,Tênis Ous Imigrante Essencial Masculino Feminino Unissex,299,99,218,99,,
OLYMPIKUS,Tênis Olympikus Volt Unissex,129,99,32,50,4.8,(17)
OLYMPIKUS,Olympikus Difuse 2 Sem gênero Adultos,100,72,9,,3.0,(7)
MIZUNO,Tênis Mizuno Wave Creation 20 Original Academia Caminhada,199,90,129,93,,
OLYMPIKUS,Tenis Olympikus Masculino Feminino 34 Ao 43 Pronta Entrega,109,99,10,69,4.3,(837)
MIZUNO,Tênis Mizuno Masculino 12s Super Oferta!,339,97,166,58,,
MIZUNO,Tenis Miz Wave Ultima 7 Melhor Qualidade Envio Rápido,149,90,37,48,,
ADIDAS,adidas Advantage Base Court Lifestyle Masculino Adultos,280,11,31,,4.8,(697)
,Tênis Masculino Air 90 Max Gelo Verde Água Reposição Top,89,90,8,74,4.7,(64)
MIZUNO,Tênis Masculino Mizuno Wave Prophency Ls Flor De Lotus ,299,90,284,90,,
QUEBEC,Tênis Masculino Edmonton Quebec Casual Para Passeio ,149,90,14,57,,
MIZUNO,Tênis Mizuno Jet Classic,94,90,9,22,,
ASICS,Tênis Asics Revelation Original Corrida Macio Envio Imediato,249,91,99,96,4.5,(16)
NEW BALANCE,Tênis New Balance 997s Sport Exclusivo Lançamento ,209,07,198,61,,
PUMA,Tênis Puma Caven 2.0 Bdp Branco Masculino - 396330-02,329,95,32,99,4.5,(11)
,Tênis Masculino Balance Corrida Leve 12 Mola,119,90,99,51,4.0,(4)
WAVE,Kit Com 3 Pares Super Promoção Tênis Esportivo Molas Creatio,218,90,31,27,4.0,(51)
MIZUNO,Tênis Mizuno Masculino Beta Envio Imediato!,369,98,177,59,4.4,(9)
,Tênis Disc Disk Cell Regularte Confortável Importado,179,90,35,98,2.4,(5)
NEW BALANCE,Ténis Masculino New Balance 997s Original Apronta Entrega,234,99,195,04,4.0,(41)
OLYMPIKUS,Tênis Olympikus Corre 3 Unissex,499,99,50,,4.2,(5)
,Tenis Masculino Casual Elástico Confortavel Lançamento ,199,90,33,32,4.8,(10)
OLYMPIKUS,Tenis Olympikus Diffuse Masculino Feminino Do 34 Ao 43,109,99,10,69,4.4,(125)
VANS,Tênis Casual Knu Skool Preto Branco Lançamento ,149,90,37,48,4.8,(19)
MIZUNO,Mizuno Wave Prophecy X Masculino Adultos,255,80,91,92,3.3,(61)
,Tenis Pesca Neoprene Unissex Sapatilha Aquatica Confortavel,132,90,33,22,4.6,(23)
OLLIE,Tênis Casual Ollie Masculino Liso Cadarço Dia A Dia Conforto,139,99,114,79,4.4,(760)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(716)
MIZUNO,Mizuno Wave Prophecy X Masculino Adultos,255,80,91,92,3.3,(61)
NB,Tenis Bege Macio Nb Promoção 997s Envio Rapido Black Friday ,196,90,32,82,4.5,(32)
,Tênis Para Tênis De Mesa Badminton Esportivo Competição,345,50,34,,5.0,(12)
REDLEY,Tênis  Da  Redley Original Na Caixa .,159,99,32,,4.7,(137)
CONVERSE,Tênis All Star Casual,79,90,7,77,,
VANS,Vans UltraRange V3 Sem gênero Adultos,499,99,174,99,3.8,(32)
ASICS,Tênis Asics Gel Sendai Couro Leve Macio Promoção Garantia,299,90,125,95,,
,Sapatilha Aquática Neoprene Hibrida Praia Pesca Ciclismo,78,90,7,67,4.6,(879)
ASICS,Tênis Asics Masculino Gel Para Academia Caminhada  Treino,239,90,127,14,4.1,(179)
ASICS,Tênis Asics Gel Original Leve Macio Academia Treino Corrida,159,90,31,98,4.2,(20)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,155,90,15,15,4.0,(302)
PROPRIA,Tenis Bolha Plus 3 Tn Masculino Adulto Molas Treino Promoção,149,90,37,48,,
,Tênis Corrida Bolha Plus 1 Tn Muito Leve Novo Cr7 Neymar,399,99,131,99,,
,Tênis Olimpikus Masculino Feminino Difuse Flash Promoção,96,49,9,38,4.1,(183)
QUIKSILVER,2 Pares Tenis Quiksilver Masculino Bordado Adulto Skatista ,139,90,13,60,4.6,(12)
OLYMPIKUS,Tênis Olympikus Neblina,209,99,20,41,5.0,(1)
,Tênis Air Vapormx Refletivo Bolha Unissex Na Caixa Com Logo,159,90,31,98,4.6,(108)
NEW BALANCE,Tênis Masculino New Balance 247 Couro Academia Caminhada,299,90,128,95,5.0,(4)
OLYMPIKUS,Tênis Olympikus Challenger 4 Unissex,159,99,32,,4.4,(12)
,Tênis Mizun Propheency Ls 8 X Novidade Promoção Frete Off,152,98,145,33,,
OLYMPIKUS,Tenis Feminino E Masculino Confortável Para Esportes Oferta,199,90,99,95,,
,Tênis Air Vapormx Refletivo Bolha Unissex Na Caixa Com Logo,159,90,31,98,4.4,(7)
OLYMPIKUS,Olympikus Lightspeed Sem gênero Adultos,110,,99,,4.4,(95)
,Tenis Pesca Neoprene Unissex Sapatilha Aquatica Confortavel,132,90,33,22,4.6,(23)
TIMBERLAND,Tênis Timberland Gorge C2 Conforto Durabilidade E Camping ,139,90,34,98,4.4,(14)
STYLL BABY,Tênis Mizun Styll Wave Creation 20 Masculino Tamanho 38 A 45,99,90,33,30,4.3,(18)
RAINHA,Tênis Rainha Vl2500 Preto Monochrome,164,90,99,,5.0,(1)
MIZUNO,Tênis Mizuno Jet Classic Masculino Confortavel,139,90,34,98,,
ASICS,Tênis Asics Masculino Gel Para Academia Caminhada  Treino,239,90,127,14,4.1,(179)
ADIDAS,Tênis X_plr Path adidas,399,99,40,,,
LACOSTE,Tênis De Tecido L-spin Lacoste Masculino Com Sola Listrada,729,90,72,,,
UNDER ARMOUR,Tênis Under Armour Bankshot Masculino,399,99,379,99,,
LACOSTE,Ténis Em Pele Tclip Para Homem,699,90,69,,,
FILA,Descrição  Tênis Fila Racer Nairóbi Masculino,279,99,265,99,5.0,(1)
LACOSTE,Tênis Masculino Lacoste Graduate Pro Em Couro,599,90,59,,5.0,(2)
,Tênis Jogger Torcida Uniformizada Palmeiras,165,90,33,18,5.0,(4)
MIZUNO,Tênis Mizuno Cool Ride 2 Masculino,299,99,284,99,,
UNDER ARMOUR,Tênis Under Armour Swish Masculino,499,99,474,99,,
ADIDAS,Tênis adidas Vl Court 3.0 - Masculino,399,99,379,99,,
ADIDAS,Tênis Vl Court 3.0 adidas,399,99,40,,,
ADIDAS,Tênis Lite Racer 3.0 adidas,299,99,199,99,,
PUMA,Tênis Puma Scend Pro Masculino,329,99,313,49,,
ADIDAS,Tênis Park Street adidas,399,99,40,,,
ADIDAS,Tênis Alphabounce+ Sustainable Bounce adidas,599,99,60,,,
ADIDAS,Tênis adidas Run 60s 3.0 Masculino,264,99,251,74,4.7,(6)
ADIDAS,Tênis adidas Grand Court 2.0 Masculino,279,99,265,99,,
BELL BOOTS,Tenis Adventure Masculino Intrunder Couro Legítimo Original,217,30,178,18,4.8,(12)
MIZUNO,Tênis Mizuno Wave Endeavor 2 Masculino,699,99,664,99,,
NEW BALANCE,Tênis New Balance Fresh Foam X Trail More V3 Masculino,1.199,99,1.139,52,5.0,(1)
ADIDAS,Tênis Daily 3.0 adidas,399,99,40,,,
MIZUNO,Tênis Mizuno Space 4 Masculino,279,99,265,99,,
